,0
0,"('Remove tenderloin from steak. Score meat. Combine remaining ingredients and pour over meat. Let marinate 24 hrs. Preheat grill. Broil or possibly grill. Slice thinly on an angle against the grain.', {'entities': []})"
1,"(""combine all ingredients in slow cooker (6 quarts). bury chicken in vegetables. don't put herbs directly on chicken (because skin is removed later) add enough broth and water to cover most of ingredients. liquid level rises a good amount during cooking, so careful with filling the slow cooker too much. turn slow cooker on low for 6-7 hours or high 3-4 hours. Note: in my newer Crock-Pot this was enough time, but in my parents' older Crock-Pot 7 hours on low was not enough (don't know how long would be good. we left the veggies a little tough). pull out all chicken. skim off fat from top with spoon pull off skin and remove bones from chicken. shred and return to soup."", {'entities': [(56, 63, 'FOOD'), (168, 173, 'FOOD')]})"
2,"('Cook 3 to 4 carrots; cut crosswise in 1-inch pieces. Add butter, brown sugar (packed) and grated lemon rind and juice to taste. Heat slow, stirring occasionally, until nicely glazed, about 15 minutes. Makes 2 to 3 servings.', {'entities': [(12, 19, 'FOOD'), (57, 63, 'FOOD'), (65, 76, 'FOOD'), (97, 107, 'FOOD')]})"
3,"('Mix all dry ingredients in a bowl.  Add crisco and cut in with dough cutter.  Mix wet ingredients adding ice water to make 1 total cup of wet ingredients.  Add wet to dry, starting with 1/2 cup of wet ingredients.  Make dough and chill', {'entities': []})"
4,"('Mix and press in baking pan, approximately 13 x 9-inch. Bake 8 minutes at 400°. Cool.', {'entities': []})"
5,"('In a 1 1/2-quart saucepan stir together sugar and juices and simmer, stirring occasionally, 5 minutes, or until sugar is dissolved and syrup is slightly thickened. Cool syrup. Syrup may be made 3 days ahead and chilled, covered. Makes about 1 1/4 cups.', {'entities': [(40, 45, 'FOOD')]})"
6,"('Cut orange into 1/4-inch-thick rounds; cut rounds into 1/4-inch cubes. Place in heavy medium saucepan; add 3 cups water. Bring to boil. Reduce heat and simmer 10 minutes. Drain, rinse, and drain well. Boil again with 3 cups water; rinse and drain. Return orange cubes to same pan. Add 3/4 cup water, 1/2 cup sugar, and 1 cinnamon stick. Bring to boil, stirring until sugar dissolves. Boil gently until all liquid evaporates, about 30 minutes. Bring brown sugar, rum, vinegar, allspice, 1/4 cup water, and 1 cinnamon stick to boil in saucepan. Mix in cranberries. Cook until thick syrup forms, stirring occasionally, about 10 minutes. Mix in orange; cook 1 minute. Transfer chutney to small bowl; cool. (Can be made 2 days ahead. Cover; chill.)', {'entities': [(114, 119, 'FOOD'), (308, 313, 'FOOD'), (550, 561, 'FOOD')]})"
7,"('The condiments: - Large prawns, fried in batter - Small blue swimming crab, fried in batter - small - medium size prawn, made into crackers - 1 bunch of morning glory, boil until ready - 200 gr bean sprout, blanched - make birds eye chilli sauce The Gravy : - Bring water to a boil, put all ingredients for gravy and continue to cooke for 10 minutes, simmer for another 1 hour or until the tomato is softened or the water has reduced to 2 - 2.5 L - Put the tomato stock back in the pot, add in the dissolved corn starch, mix well and bring back to a boil, the gravy now should thickened. If you prefer the gravy slightly runny use 2 tbsp of corn starch but if you wish thicker use 3 tbsp. - The gravy is now ready to use', {'entities': []})"
8,"('Mix ingredients well. Pour into jar. Keep in refrigerator until ready to use. Makes 1 3/4 pints.', {'entities': []})"
9,"('Mix all ingredients together and chill overnight. Great with fresh vegetables.', {'entities': []})"
10,"('Process first five ingredients in a blender or food processor until smooth. While processing, gradually add oil in a steady stream until dressing thickens. Pour into a serving bowl; stir in poppy seeds. Transfer 1/4 cup salad dressing to a small bowl. Toss with crab. Add remaining ingredients to serving bowl; gently toss until combined. Top with crab mixture.', {'entities': [(190, 201, 'FOOD')]})"
11,"('Read full directions at 5boysbaker.com', {'entities': []})"
12,"('Use an 8- or 9-inch tart pan with removeable bottom. Firmly pat gramham cracker pie shell into tart pan. Set aside. Blend milk with instant pudding mix in deep bowl using a whisk or an electric mixer. Continue mixing at low speed for 1 minute or until pudding is dissolved. Add grated orange rind. Let stand for 5 minutes and pour into pie shell. Let stand for 15 minutes or until set. Arrange strawberries or other berries decoratively over pudding shortly before This recipe is suitable for occasional use. Use unsalted margarine in pie shell.', {'entities': [(80, 89, 'FOOD'), (122, 126, 'FOOD'), (285, 296, 'FOOD'), (394, 406, 'FOOD'), (399, 406, 'FOOD')]})"
13,"('Stir margarine, flour, bouillon cubes and milk until thick. Pour over broccoli. Mix stuffing mix according to directions. Sprinkle on top. Add nuts. Bake 30 minutes at 350° in 9 x 13-inch pan.', {'entities': [(70, 78, 'FOOD'), (5, 14, 'FOOD'), (16, 21, 'FOOD'), (42, 46, 'FOOD'), (84, 96, 'FOOD')]})"
14,"('Place Veg-All, kidney beans, whole corn, celery, green pepper and onion in bowl. Combine flour, sugar, vinegar and mustard. In a saucepan, cook until the mixture thickens. Set aside to cool. When cool, pour it over vegetables and mix.', {'entities': [(6, 13, 'FOOD'), (15, 27, 'FOOD'), (35, 39, 'FOOD'), (41, 47, 'FOOD'), (49, 61, 'FOOD'), (66, 71, 'FOOD'), (89, 94, 'FOOD'), (96, 101, 'FOOD'), (103, 110, 'FOOD'), (115, 122, 'FOOD')]})"
15,"('Cook till rhubarb is soft. Then add in 1 c. cherry pie mix. Heat till boiling, add in 1 small box cherry Jello. Mix well. Put in containers and seal. You can use apricot pie mix and apricot Jello instead.', {'entities': [(10, 17, 'FOOD')]})"
16,"('Dissolve sugar in lukewarm water in a small bowl. Sprinkle with yeast and let stand. Combine milk, water, salt, sugar, baking powder, and raisins in a large bowl or in the bowl of a stand mixer. Beat in egg yolks and yeast. Stir in flour to make a heavy (rather stiff) batter. Fold in egg whites. Cover and set in a warm place until well risen (at least double in bulk). This should take about 2 hours. The end result is a fairly sticky dough. Drop by tablespoonfuls into hot oil (375F) and fry until golden brown.', {'entities': [(9, 14, 'FOOD'), (27, 32, 'FOOD'), (93, 97, 'FOOD'), (27, 32, 'FOOD'), (106, 110, 'FOOD'), (9, 14, 'FOOD'), (119, 132, 'FOOD'), (138, 145, 'FOOD'), (203, 212, 'FOOD'), (285, 295, 'FOOD'), (232, 237, 'FOOD'), (476, 479, 'FOOD')]})"
17,"('Drain canned fruits, reserving 1 cup combined syrup. Cook syrup and sugar over medium heat about 5 minutes, stirring until sugar dissolves. In a large bowl, mix all ingredients including syrup together. Using about 2 cups at a time, place mixture in blender. Cover and puree until smooth but slightly chunky. Pour into another large bowl. Repeat until all fruit is processed. When all is blended, stir together in the large bowl. Line 30 muffin cups with paper liners. Ladle fruit into paper cups. Freeze until solid. When frozen, turn over muffin tins and punch out cups with your thumbs. Place cups in freezer bags and store in freezer. Remove from freezer 20 minutes before serving to use as a salad or dessert, or eat frozen.', {'entities': [(46, 51, 'FOOD'), (68, 73, 'FOOD')]})"
18,"('Note: The slush mixture makes approximately 1 gallon. Once you mix it with soda, it will make a total of 2 gallons. Start by preparing 2 half-gallon containers that you will use for freezing. You can mix everything in a huge bowl if you have one or divide it as you go, and mix it individually in your containers. Microwave water until very warm. Pour in blender, add sugar and blend until sugar is dissolved. Add orange juice concentrate and lemon juice to blender and blend on high until totally smooth. Add contents of blender to the huge mixing bowl. Add half the bananas and half of the pineapple juice to the blender. Blend on high until smooth. Add contents of the blender to the mixing bowl. Add remaining bananas and pineapple juice to the blender. Blend until smooth. Add to mixing bowl. Mix juices until totally combined. Pour into freezing containers and close them tightly. Freeze about 24 hours until frozen solid. Remove 1/2 gallon frozen slush mixture 1 hour before you are serving it. After letting it thaw on the counter for 1 hour, use a table knife to cut it in two directions. I normally cut it into about 1/2 inch sections. Add 2 liters of soda to a gallon pitcher. Spoon slush mixture into pitcher. Stir gently to combine. Adding the soda first reduces the amount of foam in your pitcher. Repeat previous step if you are making the whole recipe at once. This can also be made in a 2-gallon punch bowl instead of 2 gallon-sized pitchers.', {'entities': []})"
19,"('In a large teapot or pot, combine water and sugar and bring to a boil. Add teabags and let steep for 4-5 minutes or until desired. Take out tea bags. Pour tea into a heat proof pitcher. Add peach nectar, stir. Let cool. Put a peach wedge into each glass. Enjoy!', {'entities': [(34, 39, 'FOOD'), (44, 49, 'FOOD'), (196, 202, 'FOOD')]})"
20,"('To toast pecan halves, spread nuts in a single layer in a shallow baking pan. Toast the nuts in a 350° oven about 10 minutes, stirring occasionally.', {'entities': [(9, 14, 'FOOD')]})"
21,"('Blend softened cream cheese and milk. Add the confectioners sugar, peanut butter and then add Cool Whip (8 ounces at a time). Fill pie crust with mixture and drool chocolate syrup over filling. Top with pecans. Freeze until firm. Remove from freezer prior to serving.', {'entities': [(15, 27, 'FOOD'), (32, 36, 'FOOD'), (46, 65, 'FOOD'), (164, 179, 'FOOD'), (203, 209, 'FOOD')]})"
22,"('Preheat oven to 350F. Spray large baking sheet with vegetable oil spray. Finely grind 1/2 cup toasted pine nuts with sugar and flour in processor. Transfer to bowl. Mix in butter, egg whites and vanilla. Form 3 cookies by spooning 1 tablespoonful batter for each onto prepared baking sheet, spacing 4 inches apart. Using knife, spread each to 4-inch round. Sprinkle each round with 1 teaspoon untoasted pine nuts. Bake cookies until golden around edges, about 10 minutes. Working quickly, run thin metal spatula around edges of cookies to loosen. Drape each cookie over inverted 3/4-cup custard cup, molding and crimping sides of cookie to shape (cookie cups will be shallow). Transfer cookies to rack. Repeat with remaining batter and untoasted nuts, spraying baking sheet with vegetable oil spray between batches. Cool before using. (Can be prepared 3 days ahead. Store at room temperature in airtight container.)', {'entities': [(52, 71, 'FOOD'), (102, 111, 'FOOD'), (117, 122, 'FOOD'), (127, 132, 'FOOD'), (180, 190, 'FOOD'), (195, 202, 'FOOD'), (102, 111, 'FOOD')]})"
23,"('Season the brisket on both sides with the Essence and the salt. Heat a large, heavy skillet or possibly large roasting pan over high heat. Add in the oil and sear the meat till proportionately browned, 2 to 3 min per side. Transfer to a large roasting pan and set aside. Combine the barbecue sauce, veal stock, and salt in a large mixing bowl and mix well. Pour the mix over the brisket and cover tightly with aluminum foil. Bake for 2 1/2 hrs, then turn the meat over and continue cooking for another 2 1/2 hrs. Remove from the oven and let stand for 15 min before carving. Spoon the pan juices over the meat before serving.', {'entities': [(11, 18, 'FOOD'), (58, 62, 'FOOD'), (299, 309, 'FOOD'), (58, 62, 'FOOD')]})"
24,"(""First we cook the bacon. Preheat the oven to 350 degrees. Lay the bacon on a pan with parchment or a Silpat, and sprinkle with brown sugar. Bake for about 12 minutes, flip, then bake 12 minutes more (make sure it's nice and cooked and brown). Let the bacon cool on a rack or on paper towels. Break up into pieces, and press in between more paper towels to remove all the excess grease. Raise oven to 375 degrees. Beat together the butter, sugars, and vanilla. Once lightened and well combined, mix in the two eggs. Add the flour, baking soda, and salt and combine well. Stir in the bag of chocolate chips and the crumbled bacon. Scoop 1 tablespoon sized balls onto a Silpat-lined or greased cookie sheet. I found the cookies took about 10 minutes to bake, but I would check after 9 to see if they are done. Let cool, or enjoy while they are warm and fuzzy."", {'entities': [(523, 528, 'FOOD'), (530, 541, 'FOOD'), (547, 551, 'FOOD'), (431, 437, 'FOOD'), (127, 138, 'FOOD'), (451, 458, 'FOOD'), (509, 513, 'FOOD'), (18, 23, 'FOOD'), (127, 138, 'FOOD')]})"
25,"('Blend flour, lard and salt; beat the egg and add the vinegar and the water to it and mix.', {'entities': [(6, 11, 'FOOD'), (22, 26, 'FOOD'), (53, 60, 'FOOD'), (13, 17, 'FOOD'), (37, 40, 'FOOD'), (69, 74, 'FOOD')]})"
26,"('In small bowl, beat cream cheese, milk and eggs on low speed until smooth. Stir in Swiss cheese and onions; set aside.', {'entities': [(20, 32, 'FOOD'), (34, 38, 'FOOD'), (43, 47, 'FOOD'), (83, 95, 'FOOD')]})"
27,"('In a 6-quart kettle bring 5 quarts salted water to a boil for pasta. In a large skillet cook onion and garlic in oil over moderately low heat, stirring, until onion is softened. Add anchovies and cook, stirring, 1 minute. Add tomatoes with reserved juice, vinegar, and red pepper flakes and cook, stirring occasionally, until slightly thickened. Add capers, prosciutto, basil or parsley, and salt and pepper to taste and keep warm. Cook pasta in boiling water until al dente and drain in a colander. In a large bowl toss pasta with sauce and serve with Parmesan.', {'entities': [(62, 67, 'FOOD'), (93, 98, 'FOOD'), (103, 109, 'FOOD'), (226, 234, 'FOOD'), (350, 356, 'FOOD')]})"
28,"('Combine mustard, marmalade, soy sauce, hot pepper flakes. Stir in the water and set aside. Warm oil in pan over medium heat. Season pork chops with black pepper, and increase heat to medium-high. Brown the chops (about 2 minutes each side). Spoon mustard/marmalade mixture over the chops and bring to a boil. Cover and simmer until done, about 15 minutes. Stir in the green onions. Place chops on a platter and garnish with orange slices.', {'entities': [(28, 37, 'FOOD'), (70, 75, 'FOOD'), (43, 49, 'FOOD'), (424, 430, 'FOOD')]})"
29,"('Saute pepper and onion for 8 to 10 minutes. Add all ingredients to crock pot and cook on low for 4 to 6 hours. Add salt and pepper to taste. My friend Sheri usually adds a chopped jalepeno pepper for spicier beans.', {'entities': [(208, 213, 'FOOD'), (17, 22, 'FOOD')]})"
30,"('Mix and cook together for one minute the sugar, butter and milk. Remove from heat and add cocoa, oats and nuts. Add vanilla and stir until it can be dropped from a spoon onto wax paper.', {'entities': [(41, 46, 'FOOD'), (48, 54, 'FOOD'), (59, 63, 'FOOD'), (90, 95, 'FOOD'), (116, 123, 'FOOD')]})"
31,"('Set oven to 350 degrees. Grease a 13"" x 9"" baking pan. Cook 1-1/2 cups rice according to directions; set aside. In a heavy-bottomed saucepan, melt 1 cup butter; add in flour, stir until thoroughly mixed (about 2 minutes), allow to cool slightly. In the microwave, heat the half and half until just to boiling or to a""simmer"" (I do this in the microwave so that the milk doesn\'t scald bottom of pot, but you could simmer it in the pot, just watch not to burn bottom of pot! ). Pour in the simmering half and half into a saucepan. Add flour mixture into the milk mixture a little at a time, whisking to break up all the lumps. Then whisk in the eggs, until creamy and smooth (about 10-15 minutes). Place the cooked and drained spinach in bottom of casserole dish. Add rice, Feta cheese and green onions spreading evenly over spinach. Sprinkle with salt and pepper to taste. Pour the cream sauce over the top. Sprinkle with Parmesan cheese and paprika. Bake for 20-25 minutes.', {'entities': [(71, 75, 'FOOD'), (153, 159, 'FOOD'), (168, 173, 'FOOD'), (365, 369, 'FOOD'), (643, 647, 'FOOD'), (725, 732, 'FOOD'), (788, 799, 'FOOD'), (941, 948, 'FOOD'), (846, 850, 'FOOD')]})"
32,"('Mix all ingredients in a bowl. Cover with Saran Wrap. Cook on High for 10 minutes in microwave, stirring after the first 5 minutes. No mess to clean up!!', {'entities': []})"
33,"('Wash game hens. Sprinkle with salt (including the inside of cavity as well as entire outside of bird). Prepare rice according to directions on the box. When rice is done, add raisins and mix together. Stuff each hen with mixture and wrap in foil or place in roasting pan. Bake at 350° for 45 minutes. Baste each bird with melted butter. Leave in oven until golden brown and tender, usually 15 to 20 minutes longer.', {'entities': [(175, 182, 'FOOD'), (30, 34, 'FOOD')]})"
34,"(""Break first roll into bite size pieces so they don't touch each other. Sprinkle with cinnamon and nuts. Heat milk, butter, brown sugar and pudding mix until well blended. Pour half over bottom layer of dough. Repeat with second roll of dough. Sprinkle cinnamon and nuts on top. Let raise approximately 2 hours. Bake in a 350° oven for 30 minutes."", {'entities': [(85, 93, 'FOOD'), (98, 102, 'FOOD'), (109, 113, 'FOOD'), (115, 121, 'FOOD'), (123, 134, 'FOOD')]})"
35,"('Heat oven to 350°. Brown meat; add green pepper and onion. Cook until tender; drain. Stir in tomatoes, paste, water and seasonings. In a 2-quart dish, layer half of the noodles, meat sauce and sliced Velveeta cheese. Repeat layers. Sprinkle with Parmesan cheese. Bake for 30 minutes.', {'entities': [(35, 47, 'FOOD'), (52, 57, 'FOOD'), (93, 101, 'FOOD'), (110, 115, 'FOOD'), (200, 215, 'FOOD'), (246, 261, 'FOOD')]})"
36,"('Place meat in mixture; let sit 1 hour. Baste meat with mixture while cooking. After initial marinade, the mixture can be thickened to taste to be used as a sauce to be served with the meat.', {'entities': []})"
37,"('Boil your noodles until tender; drain. Brown meat until done; drain. Mix all ingredients. Put in casserole dish; bake at 350° for 25 minutes. Add cheese. Put back in oven until cheese is melted.', {'entities': []})"
38,"('Mix together the beef, bread crumbs, onion, beaten egg, salt, pepper and 1/2 can of tomato sauce; form into small loaves and put in shallow pan.', {'entities': [(23, 35, 'FOOD'), (37, 42, 'FOOD'), (51, 54, 'FOOD'), (56, 60, 'FOOD'), (62, 68, 'FOOD'), (84, 96, 'FOOD')]})"
39,"(""Mix flour, sugar and cocoa in a large bowl. Add in a healthy pinch of salt and stir again. Add in oil and stir well. Put baking soda in another bowl.Add in boiling water, stir and quickly add in to ingredients in large bowl; stir well. Drop in egg/s and stir again. Add in vanilla and stir. Bake in greased & floured pan at 350 for about 1 hour. Groh's Frosting: Put flour in saucepan. Gradually add in lowfat milk to flour. Heat over low flame, stirring constantly, till mix forms a paste. Cold well. Beat shortening and sugar with electric mixer till well blended. Add in cooled flour/lowfat milk paste. Beat with mixer till light and fluffy, about 5 min. Aadd healthy pinch of salt and vanilla. * I usually make 1 1/2 recipe for the 13x9 size cake"", {'entities': [(410, 414, 'FOOD')]})"
40,"('Mix all ingredients together and place in uncovered casserole dish. Bake at 350° for 45 minutes. Can be easily doubled.', {'entities': []})"
41,"('In a large bowl, dissolve yeast in warm water. Stir in 2 teaspoons honey; let stand for 5 minutes. Add the whole wheat flour, milk, 2 tablespoons butter, egg, salt, remaining honey and 1 cup all-purpose flour. Beat on medium speed for 3 minutes. Stir in enough remaining all-purpose flour to form a soft dough. Turn onto a floured surface; knead until smooth and elastic, about 6-8 minutes. Place in a greased bowl, turning once to grease top. Cover and let rise in a warm place until doubled, about 1 hour. Punch dough down. Knead on a floured surface for 30 seconds. Roll into a 12-in. circle. Melt remaining butter; brush over dough. Combine Parmesan cheese and garlic salt; sprinkle over dough. Cut into 16 wedges. Roll up wedges from the wide end and place with pointed end down on greased . Curve ends to form a crescent shape. Cover and let rise in a warm place until doubled, about 20 minutes. Bake at 400° for 12-15 minutes or until golden brown. Remove from pans to wire racks to cool.', {'entities': [(35, 45, 'FOOD'), (67, 72, 'FOOD'), (107, 124, 'FOOD'), (146, 152, 'FOOD'), (154, 157, 'FOOD'), (159, 163, 'FOOD'), (119, 124, 'FOOD'), (645, 660, 'FOOD'), (665, 676, 'FOOD')]})"
42,"('Beat cream cheese, honey and cinnamon in medium bowl with mixer until blended. Stir in dates. Refrigerate 1 hour.', {'entities': [(19, 24, 'FOOD'), (87, 92, 'FOOD')]})"
43,"('Mix corn and beans. Put in greased casserole dish. Mix cheese, onions, soup and sour cream. Spread over beans and corn. Sprinkle crackers and almonds over mixture. Drizzle butter over crackers. Bake on 350° for 1 hour.', {'entities': [(63, 69, 'FOOD'), (80, 90, 'FOOD'), (142, 149, 'FOOD')]})"
44,"('Preheat oven to 425°F. Toss diced squash with 1 Tbsp of olive oil and spread out on foil-lined baking sheet. Lightly sprinkle pinch of coarse salt over squash. Cook for 30-40 minutes, until squash is fork tender and lightly caramelized. While squash is cooking, toss diced apple with lemon juice, and set aside. Heat olive oil over medium-low heat and add onion. Saute for 3-4 minutes, until translucent. Add garlic, salt and spices and saute for 2-3 more minutes, being careful not to burn garlic. Add apples, water and stock, bring to a boil, then reduce heat and simmer until apples are fork tender, about 10 minutes. Puree roasted squash in batches with the apple mixture, in a food processor or blender, until smooth, and return to saucepan. Season with additional salt and pepper, to taste. Heat over low, thinning with more water if necessary to get desired consistency, for 5-7 minutes before serving. To serve, ladle into shallow bowls, and top each serving with 1 Tbsp of light sour cream (optional) and a sprig of cilantro (optional). For some extra color and flavor, sprinkle some additional smoky paprika over the soup.', {'entities': [(284, 295, 'FOOD'), (356, 361, 'FOOD'), (135, 146, 'FOOD'), (511, 516, 'FOOD'), (1025, 1033, 'FOOD'), (982, 998, 'FOOD')]})"
45,"('Start preparing a day in advance. Crush the garlic cloves with a fork. Mix in the oil and the 1 teaspoon of dried mint then add the raw shrimp and let marinate overnight. In another bowl with a cover, mix all the sauce ingredients (fish sauce, water, Hoisin sauce, chili garlic sauce, maple syrup and lime juice) and keep in the fridge till the next day. When youre ready to eat them the next day, start the grill or heat your pan and cook your shrimp for 2-3 minutes. Enjoy!', {'entities': []})"
46,"('Cut butter or margerine into dry ingredients. Mix well. Store in a ziploc bag in the fridge or freezer until ready to use. Excellent for camping. Great for breading fish. For Bun-on-a-stick; 1 cup mix and 1/4 c water or milk. Mix until just combined. Peel sticks, wrap small amount of dough around the peeled stick. Roast in campfire. Add butter, jam &/or maple syrup. For pancakes: 1 c mix & 2/3 c water or milk. Stir until moistened. Cook on a well-seasoned cast iron pan or griddle. Makes excellent pancakes. * Take out the sugar is you want them less sweet & more savoury. ** More than a delicious substitute for pancakes & biscuits, bun-on-a-stick is a recipe for memories. Eating it takes me back to reunions past when Auntie Amy (your great Nana Liam), Auntie Marlene, & Auntie Cheryl would prepare this for all the kids. Watching it cook on our freshly peeled sticks fed our imaginations & created heartfelt memories that will last a lifetime.', {'entities': [(527, 532, 'FOOD'), (4, 10, 'FOOD')]})"
47,"('Rinse the jalapenos and arrange them on a baking sheet. Turn the oven to broil. Roast the peppers under the broiler until lightly browned turning so all sides are browned. Turn off the heat and let the peppers sit for about 10 minutes. Stem the peppers and remove the seeds. Remove the skin. Place the peppers, garlic, olive oil and rice wine vinegar in a blender or food processor. Blend until smooth and silky. Salt to taste. The jalapenos and olive oil will turn into a silky smooth paste. Depending on the size of your jalapenos and preference, add more salt and vinegar to taste.', {'entities': [(311, 317, 'FOOD'), (319, 328, 'FOOD'), (333, 350, 'FOOD'), (558, 562, 'FOOD')]})"
48,"('Heat over to 350. Mix brownies as directed on package only use water, 1/2 cup butter and 3 eggs. Spread into greased 13x9 pan. Mix remaining ingredients. Sprinkle over brownie dough. Bake 25-30 minutes or until toothpick inserted 2 inches from side comes out clean. Cool and cut into bars.', {'entities': [(63, 68, 'FOOD'), (78, 84, 'FOOD'), (91, 95, 'FOOD')]})"
49,"('Stir honey into water to dissolve. Add lemon juice, ginger, and mint, making sure they have been well pressed to release their juices. Strain the lemonade. Serve over ice, and garnish with fresh mint.', {'entities': []})"
50,"('Preheat oven to 325F. Line standard muffin tins with paper liners. Whisk together flour and salt. With an electric mixer on medium-high speed, cream butter and sugar until pale and fluffy, scraping down sides of bowl every few minutes. Add citrus zests. Reduce speed to medium, and add vanilla. Add eggs, three at a time, beating until incorporated, scraping down sides of bowl as needed. Reduce speed to low. Add flour mixture in four batches, beating until completely incorporated after each. Divide batter evenly among lined cups, filling each three-quarters full; tap pans on countertop once to distribute batter. Bake, rotating tins halfway through, until a cake tester inserted in centers comes out clean, about 20 minutes. Transfer tins to wire racks to cool 10 minutes; turn out cupcakes onto racks and let cool completely. Cupcakes can be stored up to 2 days at room temperature, or frozen up to 2 months, in airtight containers. To finish, dip tops of cupcakes in glaze, then turn over quickly and garnish with zest. Cupcakes are best eaten the day they are glazed; keep at room temperature until ready to serve.', {'entities': [(82, 87, 'FOOD'), (160, 165, 'FOOD'), (286, 293, 'FOOD'), (299, 303, 'FOOD')]})"
