,0
51,"('Preheat oven to 400°F. Whisk together all of the dry ingredients (cocoa powder through salt) in a medium-sized mixing bowl. In a separate, smaller bowl, combine eggs, milk, vanilla and vinegar. Add wet ingredients into dry, adding the melted butter as well. Whisk just to combine, not worrying about any small lumps that may exist in the batter. Fold in blackberries and chopped mint. Spoon the batter into two 12-count baking cup lined muffin tins and bake in at 400°F for 20 minutes. (Recipe adapted from Dorie Greenspan.)', {'entities': []})"
52,"(""Use a large pot, the candy needs lots of room to bubble. Pour the buttermilk, sugar and baking soda into the pot. Stir the mixture until the sugar is completely dissolved, then place the pot on low to medium heat and let it boil to a soft ball stage, stirring constantly. (Soft ball means dipping a spoon into the candy and letting a small amount drip into cool water. If you can form the syrup into a soft ball with your fingers, it is ready.) The mixture will turn a brownish color, but don't worry, it is supposed to. Once the soft ball stage is reached, remove from heat, then add 2 cups of pecan halves, then the vanilla and butter. Beat the mixture briskly until it becomes glossy and starts to get very thick. Quickly spoon onto greased wax paper, making little patties. Pecan halves may be turned right side up. Let the candy completely cool before removing it from the paper."", {'entities': [(78, 83, 'FOOD'), (88, 99, 'FOOD'), (66, 76, 'FOOD'), (595, 607, 'FOOD'), (618, 625, 'FOOD'), (66, 72, 'FOOD')]})"
53,"('In a large bowl, mix together the flour, sugar and salt. Cut in the butter (at room temperature) until particles are the size of small peas. Mix in the egg yolks slightly mixed with enough water to measure 1/3 cup. Sprinkle this over the flour mixture, tossing lightly with a fork until the dough is moist enough to hold together. Form into a ball and chill while making the meringues. Meringue: Beat the egg whites with the cream of tartar for one minute. Gradually add the powdered sugar, beating constantly. Mix in the vanilla. Cover with plastic wrap while rolling out the dough. Roll out the chilled dough on a floured board, pastry cloth or waxed paper. Shape to approximately a 20 x 15 inch rectangle. Spread on the merigue. Combine the sugar, cinnamon and almonds. Sprinkle over the meringue. Press in lightly with a spatula. Cut dough with spatula or sharp knife into 3 x 1 inch strips. Place on ungreased bake sheet. Bake in a 350 degree oven 8-10 minutes, or until they start to delicately brown.', {'entities': [(34, 39, 'FOOD'), (41, 46, 'FOOD'), (51, 55, 'FOOD'), (68, 74, 'FOOD'), (152, 161, 'FOOD'), (425, 440, 'FOOD'), (475, 489, 'FOOD'), (522, 529, 'FOOD'), (405, 415, 'FOOD'), (41, 46, 'FOOD'), (751, 759, 'FOOD')]})"
54,"('in large stock pot heat oil add onion, carrots and green pepper, saute add rice, chili and pepper, saute add garlic, saute add water, garlic powder, tomato sauce, chicken, bay leaf and vinegar. cook for 1 hour covered until chicken is done. take chicken out and debone add chunks of chicken back inches. remove bay leaves.', {'entities': [(163, 170, 'FOOD'), (39, 46, 'FOOD'), (109, 115, 'FOOD'), (149, 161, 'FOOD'), (109, 115, 'FOOD'), (57, 63, 'FOOD'), (127, 132, 'FOOD'), (32, 37, 'FOOD'), (172, 180, 'FOOD')]})"
55,"('In a large bowl, combine the first 4 ingredients. Stir in the mayonnaise (& hot pepper sauce, if using), mixing well. Cover & refrigerate at least 1 hour before serving.', {'entities': [(62, 72, 'FOOD'), (80, 86, 'FOOD')]})"
56,"('Cream sugars, eggs and butter. Add vanilla and dry ingredients; mix thoroughly. Drop teaspoonfuls on cookie sheet. Flatten with spatula dipped in water. Sprinkle with white sugar and cinnamon. Bake at 350°.', {'entities': [(167, 178, 'FOOD'), (14, 18, 'FOOD'), (23, 29, 'FOOD')]})"
57,"('Directions  Preheat oven to 350 degrees F.  In a very deep pot, bring enough oil to fill the pot by 2/3 of the way. Heat the oil to 350 degrees F.  Add the hen slowly to the oil and fry for 8 to 10 minutes on each side until golden brown and have reached an internal temperature of 165 degrees F.  Remove the hen from the oil and drain on a paper towel.  Whisk together in a large bowl, the hoisin, honey, red pepper flakes, and the scallions. Brush mixture over the cooked hen on both sides and reserve the extra sauce for dipping.  Place in oven for about 7 minutes. Take out. Flip over and brush reserved hoisin sauce on flipped side. Place in oven for another 7 minutes.  Recipe courtesy Aaron McCargo Jr.', {'entities': [(391, 397, 'FOOD'), (399, 404, 'FOOD'), (406, 416, 'FOOD'), (433, 442, 'FOOD')]})"
58,"('Place the cubed chicken in a bowl. Add the egg white, cornstarch, vodka, and canola oil. Stir to coat the chicken, then set aside to marinate while you prepare the rest of the recipe. Combine the white wine, soy sauce and chicken stock in a pitcher. Heat a large non stick skillet and spray it with cooking oil. Add the marinated chicken and cook over high heat until lightly browned. Add the scallions, garlic, ginger, red pepper, and asparagus and stir fry for another minute. Slowly stir in the liquid and bring to a boil so that the sauce thickens. Lower the heat and stir in the mango. Cook until heated through. Good served over basmati rice.', {'entities': [(43, 52, 'FOOD'), (54, 64, 'FOOD'), (66, 71, 'FOOD'), (77, 87, 'FOOD'), (196, 206, 'FOOD'), (208, 217, 'FOOD'), (393, 402, 'FOOD'), (412, 418, 'FOOD'), (584, 589, 'FOOD')]})"
59,"('Sprinkle pecans evenly in bottom of a well-greased 10-inch Bundt pan. Set pan aside.', {'entities': [(9, 15, 'FOOD')]})"
60,"('In saucepan, place chocolate bar, milk and marshmallows. Cook over low heat, stirring constantly until melted. Cool. Fold 1 1/2 cups whipped cream into chocolate mix. Spread thin layer of warm hot fudge in bottom of pie crust. Gently spoon cooked mixture into crust. Top with reserved whipped cream and garnish with chocolate syrup topping. Refrigerate for 3 hours.', {'entities': [(19, 32, 'FOOD'), (193, 202, 'FOOD'), (34, 38, 'FOOD'), (133, 146, 'FOOD')]})"
61,"('Place 9 French bread slices in single layer in the bottom of a lightly greased 13 x 9 baking dish and top with cream cheese. Place remaining French bread slices on top of cream cheese. Whisk together eggs and the next three ingredients; pour over bread. Cover and chill for 8 hours. Remove from refrigerator and let stand at room temperature 30 minutes before baking. Bake at 350° for 45 minutes, shielding with aluminum foil after 20 minutes to prevent excessive browning. Yield: 8 servings.', {'entities': [(15, 20, 'FOOD'), (111, 123, 'FOOD'), (111, 123, 'FOOD'), (200, 204, 'FOOD')]})"
62,"('Combine flour and salt. Cut in lard and reserved cold chicken fat until size of small peas. Add water by tablespoons, tossing with fork until all flour is moistened and dough forms ball.', {'entities': [(8, 13, 'FOOD'), (18, 22, 'FOOD'), (31, 35, 'FOOD'), (54, 61, 'FOOD'), (96, 101, 'FOOD')]})"
63,"('Melt the yeast, sugar, 13 cup warm water in a bowl and set aside. Mix the flours, salt, in a bowl, add the yeast mix, and then the water. Mix the dough until smooth, about 5 minutes. Let rise covered with a damp cloth for one hour. Punch down, and divide into two or four loaves, then slice tops about 2 inch across, 1/4 inch deep. Place in cold oven set to 350F (180C) F for one hour. For crustier bread, place a pan of water on the bottom of the stove for first 30 minutes, then remove. Also, you can brush the loaves with a mixture of egg-white and 1/2 cup water after 50 minutes.', {'entities': [(9, 14, 'FOOD'), (16, 21, 'FOOD'), (74, 79, 'FOOD'), (35, 40, 'FOOD'), (82, 86, 'FOOD'), (35, 40, 'FOOD')]})"
64,"(""In a medium bowl, combine sugar, flour, baking soda, salt and drink powder. Stir with a wire whisk until blended. With a pastry blender, cut in shortening until evenly distributed and mixture resembles corn meal. Spoon about 1/3 cup mixture into each of 10 small containers or ziploc bags. Seal bags tightly. Label with date and contents. Store in a cool dry place. Use within 12 weeks. Makes 10 packages Cake Mix. ----------------------------. TO USE:. 1 pkg. Children's Orange Cake Mix (above). 4 teaspoons water. Preheat oven for 15 minutes. Grease and flour a 4 inch miniature cake pan. In a small bowl, combine cake mix and water. Stir with a fork or spoon until blended and smooth. Pour mixture into prepared pan. Bake 12 to 13 minutes in play oven. Remove from oven. Cool in pan on rack for 5 minutes. Invert cake onto a small plate. Remove pan. When cool, frost with Children's White Frosting if desired."", {'entities': [(26, 31, 'FOOD'), (33, 38, 'FOOD'), (40, 51, 'FOOD'), (53, 57, 'FOOD'), (144, 154, 'FOOD')]})"
65,"('In a sauce pan cook sugar and water until thick. Cool syrup. Combine the remaining ingredients. Add syrup and whisk to blend well.', {'entities': [(20, 25, 'FOOD'), (30, 35, 'FOOD')]})"
66,"('Mix all ingredients as for any layer cake. Batter will be thinner than usual. Put 4 tablespoons of batter into greased and floured cake pan. Bump pans gently with hands to spread batter over the entire pan. Bake at 350° for 5 to 7 minutes. Do not cook too long or allow layer to get brown. Partially cool before removing from pan.', {'entities': [(123, 128, 'FOOD')]})"
67,"('Preheat oven to 350°. Season hamburger meat with pepper while browning. Drain off grease. In separate saucepan combine both soups and water over low heat. Line potato slices in a 10 x 13-inch buttered baking dish. Lightly salt and pepper. Lay ground beef on top of potatoes. Pour soup mixture over top. Cover dish with aluminum foil, piercing a small hole in the center. Bake covered for 25 minutes. Remove foil and top with potato chips. Bake for 20 minutes more.', {'entities': [(265, 273, 'FOOD'), (134, 139, 'FOOD'), (425, 437, 'FOOD'), (222, 226, 'FOOD'), (49, 55, 'FOOD')]})"
68,"('1. Add the oil to a large saucepan and add in the ginger over high heat. Fry for a few seconds and then pour in the vegetable stock. 2. Bring to a boil, then reduce and simmer for 10 minutes. While the stock heats up, cook the rice noodles according to package directions. For large noodles, boil for 6 minutes and then drain. Keep warm. 3. Add the oyster sauce, soy sauce, fish sauce, hot chili pepper and garlic to the stock and reduce heat, simmering for 5 minutes. Add in the shrimp and continue simmering for a further 5 minutes, until the shrimp is cooked. 4.Add the lime juice, sugar, green onions and cilantro to. Season to taste with salt and pepper. 5. Run the noodles under hot water to prevent sticking and divide among two bowls. Remove the shrimp from the soup and set aside for a moment. Pour the stock over top of the noodles and arrange the shrimp on top. Add a bit of fresh cilantro on top to garnish.', {'entities': []})"
69,"('In a large resealable plastic bag, combine the lemon juice, oil, parsley, onion, garlic, lemon peel, thyme, salt and pepper; add chicken. Seal bag and turn to coat; refrigerate overnight, turning occasionally. Drain and discard marinade. Grill chicken, covered, over medium heat for 35-40 minutes or until juices run clear, turning every 15 minutes.', {'entities': [(47, 58, 'FOOD'), (74, 79, 'FOOD'), (81, 87, 'FOOD'), (101, 106, 'FOOD'), (108, 112, 'FOOD'), (117, 123, 'FOOD'), (129, 136, 'FOOD')]})"
70,"('Combine first 8 ingredients in medium saucepan. Simmer for 5 minutes, then cover and let rest for 12 hours.', {'entities': []})"
71,"('Cream 1 cup shortening. Beat in: eggs, brown sugar, and white sugar. Add flour, salt, soda dissolved in 1 T hot water. Stir in: Maypo, vanilla, nuts, butterscotch and/or chocolate chips. Bake at 350 for 12 minutes on an ungreased cookie sheet.', {'entities': [(12, 22, 'FOOD'), (33, 37, 'FOOD'), (39, 50, 'FOOD'), (56, 67, 'FOOD'), (73, 78, 'FOOD'), (80, 84, 'FOOD'), (135, 142, 'FOOD'), (144, 148, 'FOOD')]})"
72,"('Preheat the oven to 350 degrees F. Grease a 9"" x 13"" pan and set aside. In a medium-size bowl, using a fork, stir the flour with the icing sugar until blended. Using a pastry blender or 2 knives, cut in the butter until the mixture is crumbly. Turn the mixture into the baking dish. Press firmly and evenly over the bottom of the dish. Bake in the centre of the oven until the edges are golden, from 20 to 25 minutes. Remove from the oven. Meanwhile, in a medium-size bowl, stir 1/2 cup flour with the oats, brown sugar, granulated sugar and baking soda. Stir in the melted butter until the mixture is crumbly. Set aside. In a large bowl, stir the caramel sauce with 1/3 cup flour. Stir in the cranberries, dates and pecans. Spread the filling mixture over top the warm baked base, making sure the cranberries and dates are evenly distributed. Sprinkle with the streusel mixture. Return to the oven. Bake until the top is light brown, from 35 to 40 minutes. Remove from the oven. Cool on a rack at least 30 minutes. Cut into 24 squares, then cool completely in the baking dish. Store in an airtight container in the refrigerator up to 1 week or freeze up to 3 months.', {'entities': [(118, 123, 'FOOD'), (133, 144, 'FOOD'), (207, 213, 'FOOD'), (118, 123, 'FOOD'), (502, 506, 'FOOD'), (508, 519, 'FOOD'), (139, 144, 'FOOD'), (542, 553, 'FOOD'), (207, 213, 'FOOD'), (648, 661, 'FOOD'), (118, 123, 'FOOD'), (694, 705, 'FOOD'), (707, 712, 'FOOD'), (717, 723, 'FOOD')]})"
73,"('Preheat oven to 450 deg F. Put cubed butter in freezer. Combine flour, sugar, baking powder, salt, baking soda and herbs in a food processor pulse to combine. If you do not have all the herbs, just use more of the others, so that you have 1/2 cup total. Drop in butter cubes and pulse until mixture resembles coarse cornmeal. Pour in buttermilk and pulse until mixture just comes together. Turn dough out onto a lightly floured surface. Pat into a rectangle, then cut into thirds. Stack thirds on top of each other and pat out into a rectangle again. Repeat twice, then pat into a 4x12 inch rectangle. Cut in half lengthwise and then into 8 square biscuits. Bake on a parchment-lined baking sheet until puffed and golden, 10-12 minutes. Split biscuits and spread with mustard and honey. Top with ham and pickles and make into sandwiches.', {'entities': [(64, 69, 'FOOD'), (71, 76, 'FOOD'), (78, 91, 'FOOD'), (99, 110, 'FOOD'), (334, 344, 'FOOD'), (768, 775, 'FOOD'), (780, 785, 'FOOD'), (796, 799, 'FOOD')]})"
74,"('1. Cut the salmon fillet into two equal portions, and brush both sides of each piece with olive oil. Sprinkle with salt, pepper, and the dried thyme.  2. In a large skillet, heat 1 tablespoon olive oil and the butter on medium-high until the butter foams. Carefully place the fillets flesh-side-down in the skillet.  3. Cook the fish fillets without moving until the edges begin to crisp, about 2 minutes. Decrease the heat to medium and cook until they are golden brown, about 1 minute more. Turn the fillets so they are skin-side-down and continue cooking until medium rare and the skin is crisped, 5 to 7 minutes depending on their thickness, adding a few additional drops of olive oil as needed to prevent sticking.  4. Remove the fillets to serving plates and drizzle with balsamic vinegar. Serve immediately', {'entities': [(90, 99, 'FOOD'), (115, 119, 'FOOD'), (143, 148, 'FOOD'), (778, 794, 'FOOD')]})"
75,"('Mix up all the ingredients. Rub on each side of the pork before either grilling or barbequeing. The rub can be stored in an air tight container. Meat can be marinated in the rub to add a more intense flavour, if doing this add the salt at the last stage. When barbequeing sprinkle some of the rub over the hot coals for a smokey flavour.', {'entities': [(231, 235, 'FOOD')]})"
76,"('Mix in saucepan and heat.', {'entities': []})"
77,"(""in large frying pan, brown meat with herbs and pepper and onion. slow boil noodles for 30 minutes. cook grease out of meat, don't drain. add sauce to meat mixture and let simmer for 10 minutes. drain water from noodles and mix in meat well. dump into casserolle dish pre-heat oven to 350 degrees. cover with cheese. bake for 25 minutes or until cheese is golden brown. serve enjoy."", {'entities': [(75, 82, 'FOOD'), (58, 63, 'FOOD')]})"
78,"('1. Preheat oven to 400 degrees F. 2. Arrange asparagus in a single layer on a baking sheet. Sprinkle with salt and pepper. Lightly spray with olive oil cooking spray. 3. Roast asparagus in the oven for 10-12 minutes, until tender. 4. While asparagus is cooking, add balsamic vinegar and honey to a small saucepan and cook over medium heat until reduced by half. 5. Melt butter in another small saucepan over medium heat and cook until colour turns light brown. Watch it closely and be careful not to burn the butter. 6. Once butter is a light brown, caramel colour and has a nutty aroma, remove from heat and add 2 tablespoons of the reduced balsamic and the soy sauce. Stir together. Spoon off and discard any foam from the top. Pour into a glass measuring cup or other glass cup with spout. Stir together well so mixture does not separate. Sauce should be a dark and rich with a thick, syrupy consistency. 7. Remove asparagus from oven and place into a serving dish. Pour Balsamic Brown Butter sauce over top of asparagus. Serve immediately.', {'entities': [(989, 995, 'FOOD')]})"
79,"('Individual pizzas: Arrange pita bread (whole) on cookie sheet. Spoon on pizza sauce. Then arrange toppings on bread. Place cookie sheet in oven preheated to 400°. Cook pizzas for 15 to 18 minutes or until cheese has melted.', {'entities': [(72, 83, 'FOOD'), (32, 37, 'FOOD'), (98, 106, 'FOOD')]})"
80,"('Butter slice of bread. Put in toaster oven. Let butter melt. Turn over. Place a slice of cheese on bread. Let cheese melt. Take out of oven and sprinkle on cinnamon and eat while warm.', {'entities': [(156, 164, 'FOOD'), (89, 95, 'FOOD'), (16, 21, 'FOOD')]})"
81,"('Put green beans in boiling salt water. Julienne the veggies and chop garlic Heat saute pan with oil. Saute veggies til soft. Add green beans from boiling salt water and toss around with the veggies. Salt and pepper to taste.', {'entities': [(4, 15, 'FOOD'), (69, 75, 'FOOD')]})"
82,"('Add sugar, syrup and vinegar. Bring to a boil. Cook until it spins a thread and then add butter and vanilla. Pour into cupcake pans.', {'entities': [(4, 9, 'FOOD'), (11, 16, 'FOOD'), (21, 28, 'FOOD'), (100, 107, 'FOOD')]})"
83,"(""Preheat oven to 275F. In a large bowl, combine all ingredients to form uniform dough. On a cutting board or work surface, roll out dough to 1/8-inch thickness, and cut out shapes with cookie cutters or the rims of various-size cups to make circles. The dough can also be rolled out in logs, then sliced into disks. Place the cookies on ungreased baking sheets, sprinkle with colored sugar, if desired, and bake until lightly golden, about l5 minutes. Allow cookies to cool slightly, then transfer to racks to cool completely. Dust with confectioners' sugar, if desired. Store cookies in airtight container."", {'entities': []})"
84,"('Beat Large eggs slightly. Add in remaining ingredients and combine well. Pour into pie shell and bake in a preheated 425 degree oven for 15 min. Reduce heat to 350 degrees and cook an additional 55 min.', {'entities': [(11, 15, 'FOOD')]})"
85,"('In a 5-quart saucepan, brown sausage in oil; push sausage to one side and add beef. Crumble beef with a fork until it loses is red color. Stir in onion, garlic, tomatoes, tomato paste, and basil; simmer for 2 hours; add salt and pepper.', {'entities': [(146, 151, 'FOOD'), (153, 159, 'FOOD'), (171, 183, 'FOOD'), (189, 194, 'FOOD'), (220, 224, 'FOOD')]})"
86,"('Directions: Cook 1 cup of rice until done. Use all brown rice or half basmati and half wild rice or any combination. Rice should be dry not wet. Let set after cooking to cool. Mix dressing ingredients and stir or shake well. Cut asparagus into 1 inch pieces. Add asparagus to rice, pour on dressing and mix well. If you refrigerate the salad, it will absorb some of the dressing so reserve some dressing or make more to add before serving.', {'entities': [(26, 30, 'FOOD')]})"
87,"('Soften yeast in warm water. Combine cornmeal, shortening, salt, sugar and milk. Bring to a boil, stirring constantly. Cook over boiling water for 10 minutes. Cool to lukewarm. Add eggs and 1 1/2 cups flour; mix well. Add yeast and rest of flour to make soft dough. Knead until smooth and elastic (approximately 5 minutes). Place in greased bowl. Let rise until doubled in size. Punch down and let rise 10 minutes. Shape into rolls. Brush top lightly with melted butter. Let rise until light. Bake at 350° for 15 to 20 minutes.', {'entities': [(7, 12, 'FOOD'), (16, 26, 'FOOD'), (36, 44, 'FOOD'), (46, 56, 'FOOD'), (58, 62, 'FOOD'), (64, 69, 'FOOD'), (74, 78, 'FOOD'), (180, 184, 'FOOD'), (200, 205, 'FOOD')]})"
88,"('Shake; chill; enjoy it!! Makes 1 quart.', {'entities': []})"
89,"('Finely chop the vegetables in a food processor. Break the sausage into small pieces if needed. Then put everything into the crockpot and heat on high for 3 hours. Stir to get the cheese blended in. When heated thoroughly, serve on top of tortilla chips.', {'entities': [(58, 65, 'FOOD')]})"
90,"('In large bowl on medium speed, mix cream cheese, 1 tablespoon milk, and sugar until smooth; gently stir in 1 1/2 cups whipped topping. Spread evenly over pie crust. Evenly layer bananas over cream cheese mixture. Pour 1 1/2 cups of milk into a medium bowl. Add pudding mix. Beat on low speed for 1 minute (mixture will be thick). Fold in 2 cups of whipped topping. Spread over bananas. Garnish with remaining whipped topping (if desired). Chill for 4 hours or till set.', {'entities': [(35, 47, 'FOOD'), (62, 66, 'FOOD'), (72, 77, 'FOOD'), (62, 66, 'FOOD'), (178, 185, 'FOOD')]})"
91,"('Fill a large pasta pot with water and place over high heat. Add a generous amount of salt and bring to a boil. Add the pasta, stir to separate, and cook for 10 minutes, until al dente. Drain well and toss with a little oil so the pasta doesnt stick together. Heat a 2-count drizzle of olive oil in a large pot and set over medium heat. Add the anchovies, garlic, onion, red pepper flakes, capers, and 1/2 cup of basil. Saute for a minute, until fragrant. Hand-crush the tomatoes to break them up into chunks. Pour them into the pan (be carefulnothing splashes quite like tomatoes) and simmer down the tomatoes until pulpy. This will take about 15 minutes. Nestle the clams in the tomato mixture and toss everything together with a large spoon. Pour in the wine and cover the pot to let the clams steam open, about 10 minutes. Add the linguine; then fold in the remaining basil, lemon juice, and some salt and pepper. Give it a good toss with more olive oil. Serve the pasta family-style on a large platter.', {'entities': [(85, 89, 'FOOD'), (834, 842, 'FOOD'), (355, 361, 'FOOD'), (363, 368, 'FOOD'), (370, 380, 'FOOD'), (389, 395, 'FOOD'), (412, 417, 'FOOD'), (470, 478, 'FOOD'), (878, 883, 'FOOD'), (85, 89, 'FOOD')]})"
92,"('In a bowl, combine soup, sour cream, milk, chicken and 1-1/4 cps cheese. Spread three-fourths of the mixture in a greased 2-qt. baking dish. Sprinkle hash browns over the top and press down lightly. Spread with the remaining soup mixture. Sprinkle with onions, potato chips and remaining cheese. Bake, uncovered, at 350° for 1 hour or until bubbly. Let stand for 5-10 minutes before serving.', {'entities': [(25, 35, 'FOOD'), (37, 41, 'FOOD'), (43, 50, 'FOOD'), (253, 259, 'FOOD'), (25, 35, 'FOOD')]})"
93,"('Preheat oven to 450 degrees F (230 degrees C). Combine Brussels sprouts, red onion, and garlic in a large bowl. Drizzle balsamic vinegar, olive oil, and maple syrup over the sprouts mixture and toss to coat. Season vegetables with salt and pepper; pour onto a baking sheet. Roast vegetable mixture in preheated oven until the sprouts are tender and the sauce thickened, about 40 minutes. Transfer vegetables and sauce to a large serving bowl; add walnuts, cranberries, and feta cheese and stir to mix.', {'entities': [(55, 63, 'FOOD'), (73, 82, 'FOOD'), (88, 94, 'FOOD'), (120, 136, 'FOOD'), (138, 147, 'FOOD'), (153, 164, 'FOOD'), (231, 235, 'FOOD'), (447, 454, 'FOOD'), (456, 467, 'FOOD'), (473, 484, 'FOOD')]})"
94,"('Remove stems from mushrooms and chop into 1/4 inch pieces. Set aside. Heat butter in heavy skillet. Add mushroom caps and saute quickly over high heat, about 30 seconds on each side untill just browned (do not let mushrooms get over cooked). Transfer mushrooms to heat proof serving tray with bottom sides up. Add mushroom stems to skillet and saute over high heat about 2 minutes. Add basil, salt and cream. Heat to boiling and cook until cream is reduced by half and slighlty thickend. Stir in parmesan cheese. Spoon creamy mixture into mushroom caps, dividing evenly and mounding the filling slightly (can be prepared ahead at this point) Place stuffed mushrooms under preheated broiler about 6 inches from heat. Broil untill heated through and lightly browned. Transfer to serving platter. Garnish with cherry tomatoes and parsley sprigs.', {'entities': [(18, 27, 'FOOD'), (75, 81, 'FOOD'), (386, 391, 'FOOD'), (393, 397, 'FOOD'), (814, 822, 'FOOD')]})"
95,"('Excluding eggs, cook corn bread according to package directions. After done, place cooked corn bread in large bowl. Add remaining ingredients. Mix well. Mixture should be loose. Place mix in baking dish. Bake for 20 minutes or until firm and brown in oven at 350°. Serve with favorite meat dish. If desired, serve favorite gravy over dressing.', {'entities': [(21, 31, 'FOOD'), (10, 14, 'FOOD')]})"
96,"('Melt butter in a large saute pan over medium-low heat until brown and fragrant, about 2-3 minutes, swirling the pan occasionally. Add green beans and toss in the butter until there are spotty brown marks on the beans, about 3-4 minutes . Make a well in the center of the pan and add the garlic. Stir garlic in the center of the pan until fragrant, about 30 seconds and then stir into the beans. Remove from heat, toss pumpkin seeds into the beans, then season with salt and pepper to taste. Serve immediately.', {'entities': []})"
97,"('Cream the shortening; add the sugar gradually. Mix and sift the dry ingredients. Add alternately with water. Lastly fold in stiffly beaten egg whites and flavoring. Bake in layers in moderate hot oven (375°) for 20 to 25 minutes.', {'entities': [(30, 35, 'FOOD'), (139, 149, 'FOOD')]})"
98,"('Cut wieners to bite size and put into crock pot. Pour salad dressing over wieners Cook 4 to 5 hours until done.', {'entities': [(4, 11, 'FOOD')]})"
99,"('*Use Quaker old-fashioned oatmeal, premeasured in blender until powdery.', {'entities': []})"
